"id","collection_id","url_path","is_active"
"2c04675a-8e47-4344-b504-cd0183b6a430","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://www.indeed.com/career-advice/career-development/how-to-organize-your-day-at-work","1"
"2c219cac-3f72-4e40-9a67-7f84a3d32636","be479a77-fe1f-45c3-99ee-a0f603b14f96","https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072665/LEGISCTA000006190821/","1"
"2c4d2127-1a60-4a22-bfb3-995dbf732e22","5c21c51b-2c92-48dc-89f4-8d67a29c8548","https://www.youtube.com/playlist?list=PL3NaIVgSlAVLHty1-NuvPa9V0b0UwbzBd","1"
"2d680c11-6cb0-4845-b7d2-84eb77302c62","95c4e8fa-8c15-4072-84e9-597eadc4e79d","sIbAIV2fu34","1"
"2d82fa5c-b045-403b-8bcb-482b12413f6f","178a64b2-0600-480b-b696-9fb8a8c067d9","https://www.timetopitch.com/post/les-soft-skills-incontournables-dans-lentreprise-de-demain","1"
"2fe80df1-3455-416b-b120-f6df63347967","98370192-f9cb-4023-8510-12e9741319d5","https://www.axa.fr/","1"
"3387af66-214b-4f33-97ed-0e33afd41bc1","9c00446e-f848-48b0-80ec-2e551655e8f3","QgbLb6QCK88","1"
"3503ab8a-54f2-4ec7-9c8a-069f0dc41537","95c4e8fa-8c15-4072-84e9-597eadc4e79d","bt7JPYKTrSU","1"
"352e2453-b16b-4a4e-b8a1-a5c2afa9b9e4","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://www.wework.com/en-GB/ideas/professional-development/creativity-culture/how-to-prioritize-work#6-consider-effort","1"
"3545640c-cd62-4a05-a429-5c13b78c1209","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://www.forbes.com/sites/traversmark/2024/04/13/a-psychologist-explains-how-to-beat-perfectionism-procrastination/","1"
"3b6edbc1-8485-4bfc-89dd-b8fdb07bf171","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://formation.lefebvre-dalloz.fr/dossier/efficacite-professionnelle/gestion-du-temps#:~:text=La%20gestion%20du%20temps%20au,aussi%20se%20fixer%20des%20objectifs.","1"
"3b880a93-784e-447a-ba7c-d6964c16c4d9","ce730c74-c35b-44ea-b5f9-f3a85bf27375","https://www.axa.fr/","1"
"3c9d7c04-2cb4-48c7-b893-b2f6dbd927cc","bb873ce7-c425-4f0f-8bfd-258600dd5636","https://www.insee.fr/fr/outil-interactif/7737357/map.html?indicator=part_menages_proprietaires&background=ign_gris&opacity=0.8&zoom=11.196700022321014&lng=1.2324779272483966&lat=47.60244251431942","1"
"3dc89fdb-eefd-4e6c-9a87-dbe7a4fa4991","5c21c51b-2c92-48dc-89f4-8d67a29c8548","cDcoBMVJsvk","1"
"3e5b9192-239e-454d-9290-5b0279fbc45e","5c21c51b-2c92-48dc-89f4-8d67a29c8548","d3e7GWsqoU0","1"
"41667a6a-743b-4465-8a50-fe876f31f285","9c00446e-f848-48b0-80ec-2e551655e8f3","bt7JPYKTrSU","1"
"43966346-9616-4e53-a411-e79389b0ff3c","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://www.forbes.com/sites/allbusiness/2023/05/25/how-to-delegate-effectively-8-ways-to-make-the-most-of-your-teams-time-and-talent/","1"
"44a1a8ec-1fcd-4117-99eb-649b9ef79262","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://www.forbes.com/sites/forbescoachescouncil/2024/05/14/18-proven-techniques-to-beat-procrastination-and-boost-productivity/","1"
"466891b8-93ec-4a27-80ac-a399bd7b46fc","69dd5ef2-96b5-4577-b42b-c560efba39c9","https://www.radiofrance.fr/franceculture/podcasts/france-culture-va-plus-loin-l-invite-e-des-matins/ni-dieu-ni-james-c-scott-retours-sur-une-pensee-vivante-1543781","1"
"47d600c5-b350-4e65-ba84-0913d0d2f6e6","c800da54-f23a-4c51-8e8e-b854ddcd306e","-VqmFI9vY7w","1"
"4809129a-e5e4-4be9-b787-09c22c278702","355b2dfa-9f73-4c06-8749-c47778e8ad06","https://www.malt.fr/resources/article/ia-promises","1"
"48850072-2c1c-4909-804b-f52e55b7002c","5c21c51b-2c92-48dc-89f4-8d67a29c8548","bt7JPYKTrSU","1"
"48dc424c-76aa-4627-81c5-1eb1bcf7264e","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://jamesclear.com/procrastination","1"
"4ab1fa51-31ba-4b58-beb4-110c048f5fa5","5587bcef-5bc4-4340-9d8a-09947f8afd64","https://www.new-tone-studio.com/","1"
"4bcc06fe-f5ba-4d88-8d67-e3e284219874","c800da54-f23a-4c51-8e8e-b854ddcd306e","S_A5RS-mIsc","1"
"4c4b3f30-dc34-42b7-bdb0-e068e501aabd","9c00446e-f848-48b0-80ec-2e551655e8f3","d3e7GWsqoU0","1"
"4c65894e-ec0e-4c7c-8964-a1b85662b48c","95c4e8fa-8c15-4072-84e9-597eadc4e79d","_2z-7D4bQEA","1"
"4cf8ab9c-c0ec-4eeb-9dc9-2d0989412084","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://hbr.org/2021/01/productivity-is-about-your-systems-not-your-people","1"
"4da927c8-e57c-4627-9720-5df5f2b0d7ae","e7cca053-7010-4ff4-8668-604f3b826635","bBk2kg8Gm_U","1"
"4e730b5d-d18b-4423-8074-d8da81cf57c8","9c00446e-f848-48b0-80ec-2e551655e8f3","https://www.youtube.com/playlist?list=PL3NaIVgSlAVLHty1-NuvPa9V0b0UwbzBd","1"
"4ff538e6-5a97-4dfb-95ce-f68a8b62a65e","dbce0086-29c2-4dae-8fd8-7b6ca3e27c4b","mqpXEjRhZz0","1"
"50a4b12e-bb0b-443c-9edf-3eff71e1d601","86ae45b1-ee43-4b71-ab7d-4e24fec94933","https://www.axa.fr/","1"
"51a44fef-12aa-4f87-9657-356a6a642e48","178a64b2-0600-480b-b696-9fb8a8c067d9","https://ze.game/","1"
"52653118-4fbe-4241-8d92-0ffa9ce9b092","20c0ba4d-221d-4e31-94f9-ba4986fb65bf","https://thegrowthteam.biz/","1"
"53d0f057-cef1-4ba4-87ff-8643a2a0f3ff","5c21c51b-2c92-48dc-89f4-8d67a29c8548","sIbAIV2fu34","1"
"549bc237-da5b-4f93-8c01-90ceef24e6a1","bb873ce7-c425-4f0f-8bfd-258600dd5636","https://scot-blaisois.fr/le-scot/scot-2022/","1"
"5607616a-41f2-4b34-9439-3b89422f9e72","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://www.artes-formations.fr/les-formations-artes/efficacite-personnelle-pratiques-artistiques-bureautique/item/formation-efficacite-professionnelle-optimiser-son-organisation-personnelle?category_id=88","1"
"565cf196-6806-404e-b40b-c33f80ec67b3","9348d47b-0f91-4f2f-a66f-74da663f403d","o_MuGP_Ty7M","1"
"5666f9b1-b37f-4c51-befa-65adcbb17db0","131f1685-0f06-449a-bf36-5e840f7b8e2f","https://www.haribo.com/fr-fr","1"
"57732022-05ab-4da4-abfa-763e2d1753eb","c800da54-f23a-4c51-8e8e-b854ddcd306e","hdjlCLb9Hl8","1"
"58e4507b-1797-4c3f-9018-1831c92d4e90","09f577ac-4b03-418d-ae54-7ab916e855bf","https://thegrowthteam.biz/","1"
"5920727e-d958-4e3c-92c1-7502ac17e16f","156f57dd-6823-45c4-8167-9f340b7db5a0","https://digital-strategy.ec.europa.eu/fr/policies/plan-ai#:~:text=La%20Commission%20a%20propos%C3%A9%20un,les%20ann%C3%A9es%202021%20et%202022.","1"
"59cb0411-e88a-4bc9-9664-27cb3b052815","65ac3e99-14c6-4529-b27b-0b5a037a310d","https://www.institut.capgemini.fr/formation/boostez-votre-efficacite-personnelle/","1"
"5a43240c-62b6-47de-9884-557706e81e5d","9d9af851-7d02-44b0-a336-b0a2d8fd154e","https://www.ivanti.com/fr/","1"
"5bb28b71-f746-44a2-8a19-400e5732d87d","4e912597-0d23-447b-9d8d-c235c0e50e6c","PeNG3ORgd9U","1"
