"id","collection_folder_id","user_id","collection_name","is_private","is_public","is_shared","is_group","is_analysis","created_at","shared_by","active_shared","folder_size","upload_token"
"156f57dd-6823-45c4-8167-9f340b7db5a0","9a9ab20c-e1e8-40a5-a64d-165801ad8d39","77e6314c-94ea-4728-8b5f-3f20b6c3356e","IA et EU","1","0","0","0","0","2024-07-16 09:40:43",NULL,"0","0",NULL
"159470ea-8a05-4430-a1ef-46cb025af356","1f33dcc2-1b47-40a8-8342-5cc6855d05da","c854bddf-da9f-4c4c-99a1-ad0feafcd275","Baromètre RH","1","0","0","0","0","2024-06-25 08:59:14",NULL,"0",NULL,NULL
"178a64b2-0600-480b-b696-9fb8a8c067d9","b47078ce-9382-4f54-9e1b-a7bbe93d86ef","f6d12c1b-1456-11ef-be9a-0242c0a81005","Académie Soft Skills","1","0","0","0","0","2024-06-25 13:56:11",NULL,"0",NULL,NULL
"1850470c-6e93-403b-8dea-f84329892910","e2662bb7-c2eb-4311-b3d1-dcaec7eaecb8","7aa77b88-afc6-11ee-b485-9616de9ca6c5","collections","1","0","0","0",NULL,"2024-01-25 12:57:16",NULL,NULL,NULL,NULL
"1887bab8-34e1-4e1c-b893-35899a7ceaff","f8940dd6-f0e7-4dbd-9a26-fbed184ee689","8bf207dc-479e-464b-a4c3-a3a40faa5995","Collection","1","0","0","0","0","2024-08-06 14:59:57",NULL,"0","0","0"
"1a44faa1-f89b-4799-a17a-edbfc68938d3","3be20689-a53e-423d-97ef-ad1a68b455cf","7aa77b88-afc6-11ee-b485-9616de9ca6c5","test3001243","1","0","0","0",NULL,"2024-01-30 15:59:07",NULL,NULL,NULL,NULL
"1cdf9fba-4c8c-4943-9fb4-006f6b2c2b47","10fa2e36-11a7-4359-978c-91670bfbf0ff","7aa77b88-afc6-11ee-b485-9616de9ca6c5","test_fail","1","0","0","0","0","2024-05-27 09:22:05",NULL,"0",NULL,NULL
"1e3e9e0d-c8f9-4dda-b278-a7ce878e4795","72534cca-221f-47b1-a45d-e5fe6c1cb62d","77e6314c-94ea-4728-8b5f-3f20b6c3356e","Setting","1","0","0","0","0","2024-06-24 22:04:37",NULL,"0",NULL,NULL
"1ef214a1-058b-4728-b40f-8682fe3ca5ff","32009e2f-6384-4295-b979-adec0d9b7e6a","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","CV MG","1","0","0","0","0","2024-07-17 14:46:55",NULL,"0","0",NULL
"1f37facd-b240-41eb-94a4-66aea13cbfca","bcb800a2-4a79-4284-bb2f-1cb48e05e3ea","77e6314c-94ea-4728-8b5f-3f20b6c3356e","BRANDING","1","0","0","0","0","2024-05-13 12:51:13",NULL,"0",NULL,NULL
"1f7f2587-e2f4-410e-bfc8-c511ae9c70b2","81ecf66b-462d-46d6-8e3a-9c9bbe3c401b","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","GenAI & cas métiers","1","0","0","0","0","2024-05-04 14:12:37",NULL,"0",NULL,NULL
"1f8cb325-2193-4a56-aa6f-3ffdafe03c2e","be353831-c5ad-4816-9400-2a950a8e7d0c","7aa77b88-afc6-11ee-b485-9616de9ca6c5","test_volum_1","1","0","0","0","0","2024-05-27 08:26:13",NULL,"0",NULL,NULL
"20439047-8aaa-4f0b-85b5-9c360a491353","35e4f661-ce15-4d89-ba2b-e00a1737dbf9","07ea82dc-d63d-11ee-b42d-9215b021ba2c","test","1","0","0","0","0","2024-02-28 15:40:58",NULL,NULL,NULL,NULL
"20c0ba4d-221d-4e31-94f9-ba4986fb65bf","8cb24b73-24ab-4ed8-aafc-607415a97e16","2e0b8ae4-c030-11ee-9b54-0242c0a81004","constellation","1","0","0","0","0","2024-04-04 08:02:55",NULL,"0",NULL,NULL
"23dd9e69-8e36-419b-8bbd-faeff0f4b906","f639c301-82a3-4ebd-987d-b4bc4e7d0809","7aa77b88-afc6-11ee-b485-9616de9ca6c5","test_1305","1","0","0","0","0","2024-05-13 09:51:25",NULL,"0",NULL,NULL
"24794536-7d18-4b52-9518-f00d043d1faa","224a0e5a-131a-446a-8983-39c610ba8403","7aa77b88-afc6-11ee-b485-9616de9ca6c5","test","1","0","0","0",NULL,"2024-01-25 12:37:55",NULL,NULL,NULL,NULL
"249181cb-0556-405a-8f80-290a4ec2adc6","c9eb93df-1f9e-4a10-9b75-b3aa23ccd033","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","TEST WORD2","1","0","0","0","0","2024-07-03 12:26:36",NULL,"0",NULL,NULL
"26975519-315b-4248-aa32-b701efb577d9","5acac39a-42fb-4708-9a16-45ea366cabb0","2e0b8ae4-c030-11ee-9b54-0242c0a81004","Matrice","1","0","0","0","0","2024-06-10 08:59:38",NULL,"0",NULL,NULL
"26e21e87-f602-4daa-b6c7-52c873cb1820","e3508329-8fa1-4646-938c-9bca0bbd7dc7","f6d12c1b-1456-11ef-be9a-0242c0a81005","Prés","1","0","0","0","0","2024-06-24 08:09:53",NULL,"0",NULL,NULL
"277eb7e5-f347-459a-bd7a-1ca5635e4972","c40c26e1-3672-47cc-89c8-f63a2b0cbd72","b0cf2fd7-6da0-4acf-a222-c6a1c97da1af","Collection vide","1","0","0","0","0","2024-07-25 14:27:01",NULL,"0","0","0"
"28bfb9c9-ab14-4cd2-9aa8-38719ef9e76e","009fe6dd-7f4a-46a9-a335-32e0d765886f","850e90c6-cf06-41e5-92ac-f7ef32f3d67e","ivanti","1","0","0","0","0","2024-04-16 10:40:17",NULL,"0",NULL,NULL
"2bb89bb9-daef-4caa-b1e7-976bd411b7f3","54a2d928-bfcd-4758-b6c7-9ce8044e56f3","7aa77b88-afc6-11ee-b485-9616de9ca6c5","test collection","1","0","0","0","0","2024-05-13 07:28:20",NULL,"0",NULL,NULL
"2d4c2a6d-1dac-48e8-8591-a28268363287","ec184224-c44a-4a2d-9a7a-e9d32dbaf496","d4da9920-fbeb-11ee-8e00-0242c0a81002","Mya VS Twifone","1","0","0","0","0","2024-08-01 09:06:01",NULL,"0","0","0"
"2d50e109-afdc-4512-855c-8b7afb420336","d6ea4fb1-6ac5-466f-8cd2-dde35e34f571","f38d5e2e-527c-46df-b171-3bc6c5ec2dd0","IA","1","0","0","0","0","2024-07-08 17:49:19",NULL,"0",NULL,NULL
"2e7b819e-6d91-43be-983d-cfffd9a168e3","d15740f7-6cf2-425f-b9a9-7db34f01f9d9","7aa77b88-afc6-11ee-b485-9616de9ca6c5","test_vids1557","1","0","0","0","0","2024-06-06 12:57:48",NULL,"0",NULL,NULL
"2ea05452-6fd2-4844-8c4e-45d90bab9cc9","b367c074-8aed-4e61-8bec-22c9671c8d1e","a4fce0e1-cefb-4c75-bcf1-4ebdc4311e3f","test","1","0","0","0","0","2024-07-26 07:26:47",NULL,"0","0","0"
"2fe70fd8-0706-40cd-b4f1-4b5b3b212f9b","5fbb80cf-92c2-45d4-ade4-260bfcebe29f","2e0b8ae4-c030-11ee-9b54-0242c0a81004","Commerce","1","0","0","0","0","2024-07-17 08:31:20",NULL,"0","0",NULL
"336bcd65-995a-4b7e-8a7a-a93e487fc176","fe36a625-3802-44e4-a69a-3ccfe1cd7753","7aa77b88-afc6-11ee-b485-9616de9ca6c5","oko","1","0","0","0","0","2024-05-13 08:11:37",NULL,"0",NULL,NULL
